no_municipio_prova,co_municipio_prova,sg_uf_prova,nome_uf_prova,regiao_nome_prova,nota_cn_ciencias_da_natureza,nota_lc_linguagens_e_codigos,nota_mt_matematica,nota_redacao,tp_status_redacao
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,472.3,533.0,444.2,700.0,Sem problemas                                     
São Bento do Una,2613008,PE,Pernambuco          ,Nordeste    ,438.7,518.4,446.7,0.0,Em Branco                                         
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Adamantina,3500105,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Marau,4311809,RS,Rio Grande do Sul   ,Sul         ,474.8,594.2,449.1,840.0,Sem problemas                                     
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,416.1,404.0,398.4,400.0,Sem problemas                                     
Luziânia,5212501,GO,Goiás               ,Centro-Oeste,,,,,Missing - Sem informação                          
Cabreúva,3508405,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Assaré,2301604,CE,Ceará               ,Nordeste    ,431.6,396.7,470.6,360.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,562.3,430.6,387.0,640.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,490.6,595.3,517.6,560.0,Sem problemas                                     
São Marcos,4319000,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,742.4,643.6,873.8,960.0,Sem problemas                                     
Santa Maria da Vitória,2928109,BA,Bahia               ,Nordeste    ,468.7,358.9,490.4,400.0,Sem problemas                                     
Franca,3516200,SP,São Paulo           ,Sudeste     ,599.6,609.4,629.5,900.0,Sem problemas                                     
Pinhais,4119152,PR,Paraná              ,Sul         ,475.7,519.6,380.1,420.0,Sem problemas                                     
Novo Repartimento,1505064,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,567.1,557.2,563.4,720.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Contagem,3118601,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Lauro de Freitas,2919207,BA,Bahia               ,Nordeste    ,448.5,521.6,471.1,760.0,Sem problemas                                     
Ilhéus,2913606,BA,Bahia               ,Nordeste    ,621.3,666.1,790.6,940.0,Sem problemas                                     
Vitória da Conquista,2933307,BA,Bahia               ,Nordeste    ,474.6,521.5,444.3,760.0,Sem problemas                                     
Santo André,3547809,SP,São Paulo           ,Sudeste     ,592.9,553.3,579.8,580.0,Sem problemas                                     
Gararu,2802403,SE,Sergipe             ,Nordeste    ,393.2,472.1,393.4,800.0,Sem problemas                                     
São Luís do Quitunde,2708501,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Ibiporã,4109807,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Novo Hamburgo,4313409,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,511.6,558.6,418.5,460.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,591.7,570.4,727.6,560.0,Sem problemas                                     
Campinas,3509502,SP,São Paulo           ,Sudeste     ,410.8,524.2,495.0,480.0,Sem problemas                                     
Francisco Beltrão,4108403,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Vitória da Conquista,2933307,BA,Bahia               ,Nordeste    ,557.4,592.3,573.0,720.0,Sem problemas                                     
Osasco,3534401,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,573.3,575.1,395.1,700.0,Sem problemas                                     
Sousa,2516201,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Santo Antônio de Pádua,3304706,RJ,Rio de Janeiro      ,Sudeste     ,524.0,566.1,580.4,580.0,Sem problemas                                     
Uberaba,3170107,MG,Minas Gerais        ,Sudeste     ,623.0,612.9,688.1,800.0,Sem problemas                                     
Teresina,2211001,PI,Piauí               ,Nordeste    ,615.1,606.4,705.2,840.0,Sem problemas                                     
Macapá,1600303,AP,Amapá               ,Norte       ,622.4,591.7,660.7,940.0,Sem problemas                                     
Torres,4321501,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,491.0,511.5,661.5,660.0,Sem problemas                                     
São Luís do Quitunde,2708501,AL,Alagoas             ,Nordeste    ,531.5,551.9,463.5,0.0,Em Branco                                         
Osasco,3534401,SP,São Paulo           ,Sudeste     ,483.7,544.5,487.1,580.0,Sem problemas                                     
Icó,2305407,CE,Ceará               ,Nordeste    ,416.2,486.7,412.1,760.0,Sem problemas                                     
Limoeiro,2608909,PE,Pernambuco          ,Nordeste    ,557.3,543.3,555.4,580.0,Sem problemas                                     
Teresina,2211001,PI,Piauí               ,Nordeste    ,404.3,535.8,563.8,920.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,365.3,390.8,404.0,640.0,Sem problemas                                     
Presidente Dutra,2109106,MA,Maranhão            ,Nordeste    ,439.7,501.3,455.4,640.0,Sem problemas                                     
Minaçu,5213087,GO,Goiás               ,Centro-Oeste,487.2,505.3,463.2,560.0,Sem problemas                                     
São Gotardo,3162104,MG,Minas Gerais        ,Sudeste     ,415.7,484.7,384.2,400.0,Sem problemas                                     
Jaboatão dos Guararapes,2607901,PE,Pernambuco          ,Nordeste    ,555.4,598.5,499.9,580.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,676.9,647.2,858.9,920.0,Sem problemas                                     
Teresina,2211001,PI,Piauí               ,Nordeste    ,493.8,492.8,602.9,840.0,Sem problemas                                     
Arapiraca,2700300,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Floriano,2203909,PI,Piauí               ,Nordeste    ,370.7,465.3,402.8,500.0,Sem problemas                                     
Santa Rita,2513703,PB,Paraíba             ,Nordeste    ,519.0,544.4,550.1,520.0,Sem problemas                                     
Palmas,1721000,TO,Tocantins           ,Norte       ,643.5,645.0,793.0,940.0,Sem problemas                                     
João Pessoa,2507507,PB,Paraíba             ,Nordeste    ,555.0,581.4,552.8,700.0,Sem problemas                                     
Maringá,4115200,PR,Paraná              ,Sul         ,448.5,578.9,630.2,760.0,Sem problemas                                     
Nhamundá,1303007,AM,Amazonas            ,Norte       ,,,,,Missing - Sem informação                          
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,503.2,498.7,432.6,0.0,Em Branco                                         
Montes Claros,3143302,MG,Minas Gerais        ,Sudeste     ,577.9,549.0,623.7,540.0,Sem problemas                                     
Jaboatão dos Guararapes,2607901,PE,Pernambuco          ,Nordeste    ,499.2,570.6,577.3,940.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Colíder,5103205,MT,Mato Grosso         ,Centro-Oeste,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,499.1,525.1,526.0,680.0,Sem problemas                                     
Santa Cruz do Sul,4316808,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Várzea Grande,5108402,MT,Mato Grosso         ,Centro-Oeste,407.1,507.0,483.4,700.0,Sem problemas                                     
Guaíba,4309308,RS,Rio Grande do Sul   ,Sul         ,536.5,622.0,683.1,920.0,Sem problemas                                     
Guarulhos,3518800,SP,São Paulo           ,Sudeste     ,684.8,662.6,904.9,860.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,518.9,486.5,399.5,600.0,Sem problemas                                     
Serrinha,2930501,BA,Bahia               ,Nordeste    ,443.6,471.0,410.9,480.0,Sem problemas                                     
Cascavel,4104808,PR,Paraná              ,Sul         ,558.6,543.2,391.9,600.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,581.1,490.8,633.6,880.0,Sem problemas                                     
Alfenas,3101607,MG,Minas Gerais        ,Sudeste     ,585.2,611.3,623.3,880.0,Sem problemas                                     
Porto Velho,1100205,RO,Rondônia            ,Norte       ,,,,,Missing - Sem informação                          
Tianguá,2313401,CE,Ceará               ,Nordeste    ,456.3,389.4,390.3,360.0,Sem problemas                                     
Itaperuna,3302205,RJ,Rio de Janeiro      ,Sudeste     ,567.4,636.4,751.1,740.0,Sem problemas                                     
Jequitinhonha,3135803,MG,Minas Gerais        ,Sudeste     ,,573.4,,500.0,Sem problemas                                     
Euclides da Cunha,2910701,BA,Bahia               ,Nordeste    ,373.9,451.3,382.2,540.0,Sem problemas                                     
Breves,1501808,PA,Pará                ,Norte       ,499.4,442.2,385.0,440.0,Sem problemas                                     
Acreúna,5200134,GO,Goiás               ,Centro-Oeste,441.0,410.6,448.0,640.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,635.4,598.5,675.3,840.0,Sem problemas                                     
Igarapé-Açu,1503200,PA,Pará                ,Norte       ,486.9,567.1,455.2,620.0,Sem problemas                                     
Conceição,2504405,PB,Paraíba             ,Nordeste    ,504.1,541.9,659.1,900.0,Sem problemas                                     
Lagoa Vermelha,4311304,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,401.6,518.4,433.2,480.0,Sem problemas                                     
Caxambu,3115508,MG,Minas Gerais        ,Sudeste     ,494.3,454.1,529.5,720.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,587.6,593.5,672.8,700.0,Sem problemas                                     
Passos,3147907,MG,Minas Gerais        ,Sudeste     ,600.5,513.1,669.1,860.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,367.6,313.1,380.9,520.0,Sem problemas                                     
Santa Maria,4316907,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
